comb7_str_key,comb5_name,comb5_nn,comb5_str_key
"4,5,7,9,10,13,14_5,7,9,13,14",FLUSH,7024,"5,7,9,13,14_fl"
"7,8,9,10,10,11,14_7,8,9,11,14",FLUSH,6827,"7,8,9,11,14_fl"
"3,5,6,6,10,12,14_3,5,6,10,14",FLUSH,6724,"3,5,6,10,14_fl"
"2,7,7,8,8,9,10_2,7,8,9,10",FLUSH,5980,"2,7,8,9,10_fl"
"2,3,4,6,10,10,13_2,4,6,10,13",FLUSH,6393,"2,4,6,10,13_fl"
"2,3,5,7,8,12,12_2,3,5,7,12",FLUSH,6115,"2,3,5,7,12_fl"
"2,3,4,5,9,11,14_2,4,5,9,11,14",FLUSH,6812,"4,5,9,11,14_fl"
"2,2,2,2,3,3,12_unfl",FOUR_OF_KIND,7305,"2,2,2,2,12_unfl"
"2,3,4,5,5,9,12_2,3,4,5,12",FLUSH,6109,"2,3,4,5,12_fl"
"4,8,12,13,13,13,14_4,8,12,13,14",FLUSH,7113,"4,8,12,13,14_fl"
"2,3,3,4,12,12,14_2,3,4,12,14",FLUSH,6856,"2,3,4,12,14_fl"
"3,3,4,6,7,8,11_3,6,7,8,11",FLUSH,6016,"3,6,7,8,11_fl"
"4,6,10,11,11,12,14_4,10,11,12,14",FLUSH,6970,"4,10,11,12,14_fl"
"5,8,11,12,12,13,14_5,8,11,12,13,14",FLUSH,7138,"8,11,12,13,14_fl"
"3,4,5,5,6,7,8_unfl",STRAIGHT,5856,"4,5,6,7,8_unfl"
"2,3,4,7,7,7,8_unfl",THREE_OF_KIND,5337,"4,7,7,7,8_unfl"
"5,5,7,7,8,9,9_unfl",TWO_PAIRS,4428,"7,7,8,9,9_unfl"
"2,5,8,9,12,13,14_2,5,8,12,14",FLUSH,6879,"2,5,8,12,14_fl"
"2,4,5,6,10,10,11_2,4,5,6,10,11",FLUSH,6063,"4,5,6,10,11_fl"
"2,5,6,7,9,9,13_2,5,7,9,13",FLUSH,6366,"2,5,7,9,13_fl"
"2,3,3,4,10,10,14_2,3,4,10,14",FLUSH,6716,"2,3,4,10,14_fl"
"2,4,8,9,11,12,14_2,8,11,12,14",FLUSH,6955,"2,8,11,12,14_fl"
"3,4,4,6,8,11,14_3,4,8,11,14",FLUSH,6794,"3,4,8,11,14_fl"
"2,6,7,7,8,11,11_2,6,7,8,11",FLUSH,6015,"2,6,7,8,11_fl"
"3,6,8,11,12,13,13_3,6,8,11,13",FLUSH,6471,"3,6,8,11,13_fl"
"2,3,7,8,11,13,14_3,7,8,11,14",FLUSH,6803,"3,7,8,11,14_fl"
"2,3,4,8,10,10,14_2,3,4,10,14",FLUSH,6716,"2,3,4,10,14_fl"
"3,5,6,7,8,9,12_5,7,8,9,12",FLUSH,6177,"5,7,8,9,12_fl"
"2,7,9,11,12,14,14_2,7,9,11,12",FLUSH,6280,"2,7,9,11,12_fl"
"4,4,4,4,6,10,13_unfl",FOUR_OF_KIND,7330,"4,4,4,4,13_unfl"
"2,3,4,5,6,8,12_2,3,5,6,8",FLUSH,5869,"2,3,5,6,8_fl"
"3,4,8,11,11,13,14_3,4,11,13,14",FLUSH,7062,"3,4,11,13,14_fl"
